City_ID,City,Country,Max Temp,Current Descritpion,Lat,Lng,Hotel Name
155,Areni,AM,79.16,scattered clouds,39.7191,45.1799,Park-Hotel Khoren's Lake
156,Castro,BR,70.97,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
159,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,Hotel Flamingo
160,Saint George,US,88.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
161,Zambezi,ZM,63.46,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
162,Kimbe,PG,75.09,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
164,Avarua,CK,69.85,overcast clouds,-21.2078,-159.775,Paradise Inn
167,Flin Flon,CA,53.44,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
168,Asgabat,TM,89.46,broken clouds,37.95,58.3833,Oguzkent Hotel
169,Beloha,MG,65.98,clear sky,-25.1667,45.05,
170,Kalmunai,LK,82.38,broken clouds,7.4167,81.8167,VS Villa
171,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
172,Viborg,DK,54.88,broken clouds,56.4532,9.402000000000001,Palads Hotel
173,Gat,IL,78.78,clear sky,31.61,34.7642,OlusHome
174,Pacific Grove,US,67.8,overcast clouds,36.6177,-121.9166,Lovers Point Inn
176,Yuncheng,CN,68.94,light rain,35.0231,110.9928,晋州快捷酒店
177,Swift Current,CA,61.61,clear sky,50.2834,-107.8014,"Motel 6 Swift Current, SK"
178,Port Blair,IN,82.08,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
180,Charlestown,AU,53.85,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
181,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
182,Altay,CN,61.11,clear sky,47.8667,88.1167,Jinqiao Hotel
183,Mayo,US,77.4,few clouds,38.8876,-76.5119,Resorts Resource Group International
184,Tautira,PF,73.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
185,Banyo,CM,73.74,light rain,6.75,11.8167,Motel JOMBA
186,Husavik,IS,58.91,few clouds,66.0449,-17.3389,Bjarnabúð
189,Poum,NC,72.5,clear sky,-20.2333,164.0167,Gîte kajeon
191,Broome,US,54.99,light rain,42.2506,-75.833,Chenango Valley State Park
193,Thinadhoo,MV,84.78,broken clouds,0.5333,72.9333,
194,Gigmoto,PH,81.01,overcast clouds,13.7796,124.39,Cj's Travellers Inn
195,Speightstown,BB,86.61,few clouds,13.25,-59.65,Legend Garden Condos
196,Hualmay,PE,70.86,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
197,Umm Lajj,SA,85.48,scattered clouds,25.0213,37.2685,Moon light Furnished Units
199,Marzuq,YE,83.84,broken clouds,14.4,46.4667,
200,Aleksinac,RS,64.31,broken clouds,43.5417,21.7078,Hostel Teresianum
201,Kristiinankaupunki,FI,53.56,clear sky,62.2743,21.375999999999998,Hotel Alma
202,Luena,AO,61.75,clear sky,-11.7833,19.9167,Hotel Kandamba
203,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
204,Suffolk,US,68.29,few clouds,40.8668,-72.7996,Greenwood Village
207,Hami,CN,80.67,few clouds,42.8,93.45,Laoyutang Resort
208,Koumac,NC,68.67,few clouds,-20.5667,164.2833,Le Monitel
209,Mar Del Plata,AR,65.08,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
210,Salcininkai,LT,55.0,overcast clouds,54.3,25.3833,Kesminta
211,Thunder Bay,CA,52.99,clear sky,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
212,Ceres,US,77.68,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
213,Andros Town,BS,84.16,broken clouds,24.7,-77.7667,Hanks place
214,Rocha,UY,68.59,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
216,Saldanha,ZA,59.05,light rain,-33.0117,17.9442,Blue Bay Lodge
217,Kaitangata,NZ,50.94,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
218,Birjand,IR,81.07,few clouds,32.8663,59.2211,Birjand Tourist Hotel
219,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
221,Bontang,ID,82.44,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
222,Salinas,US,67.96,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
223,Kruisfontein,ZA,63.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
224,Aromashevo,RU,58.68,overcast clouds,56.8602,68.6375,Gostinichnyy Kompleks Milan
225,San Patricio,US,87.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
226,Dingle,PH,78.78,light rain,10.9995,122.6711,SEGAYA PROPERTY
227,Saint Anthony,US,54.18,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
228,Namibe,AO,74.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
230,Fereydunshahr,IR,62.44,scattered clouds,32.941,50.121,موسسه آسمان پرواز پرتیکان
231,Barra Dos Coqueiros,BR,84.22,few clouds,-10.9089,-37.0386,Jangadeiro
232,Asau,RO,58.39,light rain,46.4333,26.4,Casa Mika Ciobanus
237,San Felipe,VE,81.18,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
240,Palmer,US,62.58,overcast clouds,42.1584,-72.3287,Wedgewood Motel
241,Lasa,IT,72.48,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
242,Huarmey,PE,71.62,broken clouds,-10.0681,-78.1522,Hotel Miramar
245,Valparaiso,CL,64.63,few clouds,-33.0393,-71.6273,Hotel Ultramar
246,Kilindoni,TZ,78.15,scattered clouds,-7.9139,39.6668,Bustani B&B
249,Catamarca,AR,86.65,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
251,Juruti,BR,87.71,scattered clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
254,Scarborough,GB,64.22,overcast clouds,54.2797,-0.4044,Ambassador
256,Lagoa,PT,61.41,overcast clouds,39.05,-27.9833,Casa Das Faias
258,Auki,SB,75.94,light rain,-8.7676,160.7034,Auki Motel
260,Ngunguru,NZ,56.16,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
261,East London,ZA,63.54,clear sky,-33.0153,27.9116,Tu Casa
263,Vyartsilya,RU,50.18,broken clouds,62.1764,30.693,Erakkoranta
264,Indramayu,ID,81.9,scattered clouds,-6.3264,108.32,Grand Trisula Hotel
267,Carballo,ES,78.58,few clouds,43.213,-8.691,Pazo do Souto
269,Bud,US,70.9,overcast clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
271,La Macarena,CO,86.67,broken clouds,2.1837,-73.7849,Hotel Punto Verde
272,Izazi,TZ,74.16,broken clouds,-7.2,35.7333,
274,Camacha,PT,71.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
276,Ancud,CL,51.42,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
277,Lakatoro,VU,71.91,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
278,Pisco,PE,66.02,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
279,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
280,Ugoofaaru,MV,84.06,broken clouds,5.6667,73.0,Ungoofaaru Inn
281,Oktyabrskiy,RU,63.86,clear sky,54.4815,53.471000000000004,Уязы-Тау гостиница
282,Dali,CN,64.38,few clouds,25.7,100.1833,Dali Travelling With Hostel
283,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
284,Bail Hongal,IN,75.65,scattered clouds,15.8167,74.8667,Sangam residency (Lodge)
285,Pangkalanbuun,ID,75.04,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
287,Iquique,CL,69.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
289,Nangwa,TZ,61.11,overcast clouds,-4.4667,35.45,
290,Gallup,US,73.02,clear sky,35.5281,-108.7426,El Capitan Motel
291,Muisne,EC,82.51,broken clouds,0.6,-80.0333,Quinta Samay
293,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
295,Lorengau,PG,80.67,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
296,Newport,GB,64.4,overcast clouds,51.5877,-2.9984,ibis budget Newport
297,Grand Gaube,MU,74.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
298,Caxito,AO,83.05,broken clouds,-8.5785,13.6643,
299,Vilyuysk,RU,50.31,few clouds,63.7553,121.6247,Gostinitsa Viliuisk
300,Ca Mau,VN,78.58,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
302,Lebork,PL,57.74,broken clouds,54.5392,17.7501,Vega
303,Capaci,IT,75.11,clear sky,38.1711,13.2393,Hotel Sirenetta
304,Kieta,PG,76.17,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
306,Bahir Dar,ET,75.31,broken clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
307,Ilheus,BR,85.82,few clouds,-14.7889,-39.0494,Barravento Hotel
309,Victoria,HK,86.97,broken clouds,22.2855,114.1577,Mini Hotel Central
310,Kulhudhuffushi,MV,83.8,clear sky,6.6221,73.07,Haajy Guest House 1
311,Sarangarh,IN,87.98,broken clouds,21.6,83.0833,JAGDISH STAINLESS STEEL WORK SHOP
314,Nelson Bay,AU,54.1,light rain,-32.7167,152.15,Mantra Nelson Bay
315,Plouzane,FR,69.89,clear sky,48.3833,-4.6167,Carrefour Voyages Plouzané
319,Nome,US,50.07,clear sky,64.5011,-165.4064,Dredge 7 Inn
321,Olafsvik,IS,51.39,heavy intensity rain,64.8945,-23.7142,Hotel Olafsvik
323,Gospic,HR,65.89,broken clouds,44.5461,15.3747,Apartment Saric
325,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
327,Luanda,AO,82.4,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
328,Maumere,ID,77.54,clear sky,-8.6199,122.2111,Sylvia Hotel
330,Guerrero Negro,MX,64.94,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
331,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
334,Shieli,KZ,80.58,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
335,Mookane,BW,65.19,clear sky,-23.688000000000002,26.6595,
