City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
116,Thompson,CA,55.7435,-97.8558,57.36,30,75,16.11,broken clouds
117,Caldararu,RO,44.45,24.95,56.68,87,100,9.95,overcast clouds
118,Verkhnevilyuysk,RU,63.4453,120.3167,49.35,69,21,4.92,few clouds
119,Norman Wells,CA,65.282,-126.8329,35.64,93,90,17.27,light rain
120,Forrest City,US,35.0081,-90.7898,75.06,72,97,14.25,overcast clouds
121,Adrar,MR,20.5022,-10.0711,107.78,9,62,5.64,broken clouds
122,Meulaboh,ID,4.1363,96.1285,75.61,96,100,2.26,overcast clouds
123,Bethel,US,41.3712,-73.414,66.45,49,75,8.05,broken clouds
124,Qaanaaq,GL,77.484,-69.3632,40.15,91,93,5.06,overcast clouds
125,Yellowknife,CA,62.456,-114.3525,53.33,53,40,1.99,scattered clouds
126,College,US,64.8569,-147.8028,41.0,55,20,18.41,few clouds
127,Bluff,NZ,-46.6,168.3333,49.8,74,100,14.14,light rain
128,Nara,JP,34.6851,135.8049,69.08,75,100,3.13,overcast clouds
129,Takoradi,GH,4.8845,-1.7554,83.57,73,79,8.81,broken clouds
130,Portland,US,45.5234,-122.6762,59.52,73,75,1.99,broken clouds
131,Ornskoldsvik,SE,63.2909,18.7153,58.82,46,0,6.51,clear sky
132,Escarcega,MX,18.6089,-90.7454,94.95,37,23,6.15,few clouds
133,Ketchikan,US,55.3422,-131.6461,50.47,62,90,0.0,overcast clouds
134,Linda,US,39.1277,-121.5508,81.52,55,1,5.75,clear sky
135,Saskylakh,RU,71.9167,114.0833,33.04,88,29,6.31,scattered clouds
136,Provideniya,RU,64.3833,-173.3,40.3,55,4,10.89,clear sky
137,Oxford,GB,51.7522,-1.256,65.41,74,20,2.71,few clouds
138,Oistins,BB,13.0667,-59.5333,86.09,51,20,18.41,few clouds
139,Calabozo,VE,8.9242,-67.4293,85.05,62,99,8.05,overcast clouds
140,Puerto Escondido,MX,15.85,-97.0667,88.63,74,75,5.75,broken clouds
141,Kodinsk,RU,58.6881,99.1844,37.63,96,100,10.8,overcast clouds
142,Narsaq,GL,60.9167,-46.05,57.42,60,59,7.7,broken clouds
143,Kijang,KR,35.2442,129.2139,64.13,72,3,11.56,clear sky
144,Hithadhoo,MV,-0.6,73.0833,82.94,73,96,16.44,overcast clouds
145,Katsuura,JP,35.1333,140.3,70.2,86,100,21.79,light rain
146,Ahipara,NZ,-35.1667,173.1667,57.49,91,81,18.75,moderate rain
147,Petropavlovka,RU,50.6114,105.3196,53.67,65,83,7.54,broken clouds
148,Paita,PE,-5.0892,-81.1144,75.76,77,96,11.86,overcast clouds
149,Konde,TZ,-4.95,39.75,76.95,71,38,11.65,scattered clouds
150,Ust-Shonosha,RU,61.1531,41.343,54.16,76,7,10.13,clear sky
151,Coquimbo,CL,-29.9533,-71.3436,62.33,77,40,5.03,scattered clouds
152,Carutapera,BR,-1.195,-46.02,86.7,59,10,6.76,clear sky
153,Namatanai,PG,-3.6667,152.4333,79.41,84,96,8.99,overcast clouds
154,Bundaberg,AU,-24.85,152.35,55.69,58,75,3.0,broken clouds
155,Areni,AM,39.7191,45.1799,79.16,44,44,6.31,scattered clouds
156,Castro,BR,-24.7911,-50.0119,70.97,65,99,12.1,overcast clouds
157,Nanortalik,GL,60.1432,-45.2371,41.0,76,23,10.27,few clouds
158,Talnakh,RU,69.4865,88.3972,27.93,91,95,6.76,overcast clouds
159,Quelimane,MZ,-17.8786,36.8883,76.95,65,20,3.44,few clouds
160,Saint George,US,37.1041,-113.5841,88.27,15,0,1.99,clear sky
161,Zambezi,ZM,-13.5432,23.1047,63.46,33,0,3.27,clear sky
162,Kimbe,PG,-5.5502,150.1429,75.09,88,100,6.17,overcast clouds
163,Codrington,AU,-38.2667,141.9667,43.21,83,4,3.44,clear sky
164,Avarua,CK,-21.2078,-159.775,69.85,100,100,2.3,overcast clouds
165,Hofn,IS,64.2539,-15.2082,48.22,93,90,18.41,overcast clouds
